"Project_no","Project.Title","Keyword","Keyword_hit"
"ERO_873","path-ai: mapping an intercultural path to privacy, agency, and trust in the human-ai ecosystem","eco","1"
"ERO_874","path-ai: mapping an intercultural path to privacy, agency, and trust in the human-ai ecosystem","eco","1"
"ERO_875","supporting community recovery and reducing readmission risk following critical illness (scarf): development of programme theory, intervention development, trial design, and a realist evaluation for a subsequent multi-centre trial.","eco","1"
"ERO_876","supporting community recovery and reducing readmission risk following critical illness (scarf): development of programme theory, intervention development, trial design, and a realist evaluation for a subsequent multi-centre trial.","eco","1"
"ERO_877","supporting community recovery and reducing readmission risk following critical illness (scarf): development of programme theory, intervention development, trial design, and a realist evaluation for a subsequent multi-centre trial.","eco","1"
"ERO_878","supporting community recovery and reducing readmission risk following critical illness (scarf): development of programme theory, intervention development, trial design, and a realist evaluation for a subsequent multi-centre trial.","eco","1"
"ERO_879","secondment of professor robert henderson to sense photonics","eco","1"
"ERO_880","trees outside forests: using remote sensing to understand ecological and social landscape change in africa","eco","1"
"ERO_881","eco2-ismart - electrochemical utilisation of co2: innovative solutions to tackle mass-transport limitations to scale-up","eco","1"
"ERO_882","circular economy matchmaking using the deep neural networks ai approach to fastrack improvements in circularity","eco","1"
"ERO_883","enchanted: generating uk capability in studying ecosystem function in simulated climate extremes","eco","1"
"ERO_884","hardware overlay support for reliable reconfigurable computing in nuclear robots","eco","1"
"ERO_885","children learning about second-hand smoke: cluster randomised-controlled trial","eco","1"
"ERO_886","peter singer wellcome university award -medical emotions in graeco-roman antiquity","eco","1"
"ERO_887","quids implementation: embedding a prognostic model for the prediction of preterm birth in maternity electronic records","eco","1"
"ERO_888","‘femtech’ and the process of becoming a (better) woman: how should law and regulation respond to health technologies targeted at improving women’s health and well-being?","eco","1"
"ERO_889","manipulating microglial/macrophage function via csf-1r to improve functional recovery and neuroplasticity after stroke","eco","1"
"ERO_890","young people’s intersectional identities and imagined futures in the colombian pacific – reconstructing social tissue through arts-based participatory approaches in post-conflict societies","eco","1"
"ERO_891","holding costing development of a head-cooling device to improve recovery in physical and cognitive performance in athletes","eco","1"
"ERO_892","holding costing development of a head-cooling device to improve recovery in physical and cognitive performance in athletes","eco","1"
"ERO_893","the role of coralliths in coral reef recovery and expansion","eco","1"
"ERO_894","read: recognition and enrichment of archival documents","eco","1"
"ERO_895","development of a live bacterial product to reconstitute respiratory ecosystem resilience and prevent respiratory infections in children","eco","1"
"ERO_896","development of a live bacterial product to reconstitute respiratory ecosystem resilience and prevent respiratory infections in children","eco","1"
"ERO_897","an economic history of victorian scotch whisky, 1860-1916","eco","1"
"ERO_898","ixchel: building understanding of the physical, cultural and socio-economic drivers of risk for strengthening resilience in the guatemalan cordillera","eco","1"
"ERO_899","ixchel: building understanding of the physical, cultural and socio-economic drivers of risk for strengthening resilience in the guatemalan cordillera","eco","1"
"ERO_900","ixchel: building understanding of the physical, cultural and socio-economic drivers of risk for strengthening resilience in the guatemalan cordillera","eco","1"
"ERO_901","ixchel: building understanding of the physical, cultural and socio-economic drivers of risk for strengthening resilience in the guatemalan cordillera","eco","1"
"ERO_902","ixchel: building understanding of the physical, cultural and socio-economic drivers of risk for strengthening resilience in the guatemalan cordillera","eco","1"
"ERO_903","moringa; delivering nutrition and economic value to the people of malawi","eco","1"
"ERO_904","reconfigurable antenna for radar applications","eco","1"
"ERO_905","finance, labour, and the aggregate economy","eco","1"
"ERO_906","lht pl prize economics it","eco","1"
"ERO_907","the organization of economic life in modern korea: rethinking empire, development, and capitalism in the twentieth century","eco","1"
"ERO_908","corvidae recommendation engine","eco","1"
"ERO_909","corvidae recommendation engine","eco","1"
"ERO_910","recovering the democratic regime","eco","1"
"ERO_911","linkage of national primary and secondary care data to determine rate, causes and risk factors for epilepsy-related death in adults","eco","1"
"ERO_912","pig stem cell-derived macrophages as a novel experimental and translational platform for combating economically important pig viruses","eco","1"
"ERO_913","effect and interaction of mutation and recombination in the dynamics of genetic variation in modern chickens","eco","1"
"ERO_914","effect and interaction of mutation and recombination in the dynamics of genetic variation in modern chickens","eco","1"
"ERO_915","lifecourse of place: how environments throughout life can support healthy ageing","eco","1"
"ERO_916","lifecourse of place: how environments throughout life can support healthy ageing","eco","1"
"ERO_917","lifecourse of place: how environments throughout life can support healthy ageing","eco","1"
"ERO_918","deconstructing construction - automated infrastructure delivery and its impact on the industry and implementation-driven design","eco","1"
"ERO_919","comorment: predicting comorbid cardiovascular disease in individuals with mental disorder by decoding disease mechanisms","eco","1"
"ERO_920","spen green economy project","eco","1"
"ERO_921","environmental influences on stillbirth: a population record linkage study in scotland","eco","1"
"ERO_922","designing a periplasmic leakage free recombinant escherichia coli model with superlative product recovery yields","eco","1"
"ERO_923","eco-zen: enabling catalytic cross couplings with only zinc electrophiles, nucleophiles and boranes","eco","1"
"ERO_924","the impact of primary and secondary epithelial senescence on renal function and fibrosis","eco","1"
"ERO_925","relieving economic and healthcare burdens in kenya through the development of biomedical engineering capacity","eco","1"
"ERO_926","economic value of ocean energy (evolve)","eco","1"
"ERO_927","validating and expanding the usefulness of an automated apparatus for continual trials recognition memory testing","eco","1"
"ERO_928","cssp brazil bz2: evaluation of south american ecosystem processes","eco","1"
"ERO_929","newton international - galat-exit? the development of economic autarky in roman galatia (central turkey) at the end of antiquity.","eco","1"
"ERO_930","multiscale techno-economic modelling of high renewable power system strategies for low-carbon transition and co-benefit aware cooperation in central asia","eco","1"
"ERO_931","intelligent recommendation for citizen science","eco","1"
"ERO_932","ecoclim: ecological responses to climate warming across biomes - ecological stability as community thermophilization linked to species thermal traits","eco","1"
"ERO_933","improving the wellbeing of mothers through early recognition and treatment of bleeding after childbirth: obstetric bleeding study 3 (obs3) a cluster randomised trial","eco","1"
"ERO_934","datafit: enabling children to become health data literate","eco","1"
"ERO_935","peri-operative enhanced recovery hip fracture care of patients with dementia (perfected) definitive trial","eco","1"
"ERO_936","'recognition' and family group conferencing","eco","1"
"ERO_937","ultimatecompass: navigating the most challenging habitats on earth: unravelling the architecture of a universal compass system","eco","1"
"ERO_938","silent speech interfaces for all - recognising speech from ultrasound images of the tongue","eco","1"
"ERO_939","reconciling volcanic forcing and climate records throughout the last millennium (vol-clim)","eco","1"
"ERO_940","economies of innovation: the adoption of the potter’s wheel in iron age southern europe","eco","1"
"ERO_941","entirely out of character?: secondary dynamics of nonlinear waves","eco","1"
"ERO_942","large-scale and robust text mining of electronic healthcare records","eco","1"
"ERO_943","resource recovery from chitosan and ragworms bioremediation of waste","eco","1"
"ERO_944","decoding travertine deposits to quantify flow in roman aqueducts","eco","1"
"ERO_945","functional recovery of injured neurons in developing spinal motor circuits","eco","1"
"ERO_946","socio-ecological dynamics of infectious disease at the livestock-human-wildlife interface.","eco","1"
"ERO_947","political economy of adult learning and education in africa","eco","1"
"ERO_948","small vessel disease - spotlight on symptoms (svd-sos) - improving recognition of symptoms and signs of progressing cerebral small vessel disease-related brain damage to prevent cognitive decline, dementia and stroke","eco","1"
"ERO_949","ultrafast molecular separation membranes for alcohol recovery and water purification","eco","1"
"ERO_950","socioeconomic outcomes measurement in survivors of major illness using public sector data","eco","1"
"ERO_951","microvascular network reconstruction by super-resolution contrast-enhanced ultrasound imaging","eco","1"
"ERO_952","feeding the bioeconomy","eco","1"
"ERO_953","cellular phenotype sequencing (ceph-seq): decoding the morphological and molecular age-related phenotypes of single cells","eco","1"
"ERO_954","articonf: smart social media ecosytstems in a blockchain federated environment","eco","1"
"ERO_955","transmuter: a reconfigurable computer","eco","1"
"ERO_956","to what extend are health economic methods applicable to a palliative and end of life care setting?","eco","1"
"ERO_957","bottle-neck – bundles of technologies and tools for livelihood enhancement in rural africa. natural, economic, cultural and knowledge –exchange impacts","eco","1"
"ERO_958","environmental and economic impacts of improved antibiotics stewardship in poultry systems","eco","1"
"ERO_959","adapting end to end speech recognition systems","eco","1"
"ERO_960","legal and economic activity in the roman world (learw)","eco","1"
"ERO_961","legal and economic activity in the roman world (learw)","eco","1"
"ERO_962","how firms affect wages: a structural decomposition","eco","1"
"ERO_963","creating a health informatics platform for unstructured medical records at nhs lothian","eco","1"
"ERO_964","reconstructing residence patterns in neolithic scotland","eco","1"
"ERO_965","nanostructured cu-based electrocatalysts for electrochemical conversion of co2 to ethylene (eco2-thylene)","eco","1"
"ERO_966","decoding the demotic: a modern grammar of scottish gaelic","eco","1"
"ERO_967","statistical ecology: modern challenges of quantity and quality","eco","1"
"ERO_968","reconciling the mystical body: louisiana catholics and desegregation, 1945-1976","eco","1"
"ERO_969","retrospective cohort study of prescription of medication for mental health conditions in epilepsy and seizure frequency, health care resource utilisation and mortality: innovative and cost-efficient use of routinely collected data with health economics assessment","eco","1"
"ERO_970","retrospective cohort study of prescription of medication for mental health conditions in epilepsy and seizure frequency, health care resource utilisation and mortality: innovative and cost-efficient use of routinely collected data with health economics assessment","eco","1"
"ERO_971","retrospective cohort study of prescription of medication for mental health conditions in epilepsy and seizure frequency, health care resource utilisation and mortality: innovative and cost-efficient use of routinely collected data with health economics assessment","eco","1"
"ERO_972","retrospective cohort study of prescription of medication for mental health conditions in epilepsy and seizure frequency, health care resource utilisation and mortality: innovative and cost-efficient use of routinely collected data with health economics assessment","eco","1"
"ERO_973","entrepreneurial and innovation ecosystems in the uk and japan - place-based policy scenarios and options","eco","1"
"ERO_974","living with conditionality in the automated data-driven digital economy","eco","1"
"ERO_975","farmed animals in multicultural societies: ethics, politics, and ecologies in india (farms)","eco","1"
"ERO_976","farmed animals in multicultural societies: ethics, politics, and ecologies in india (farms)","eco","1"
"ERO_977","understanding the biosynthesis of metallic nanoparticles for metal recovery","eco","1"
"ERO_978","novel cardiac mri methods for the diagnosis of coronary artery disease compared to pet imaging and invasive coronary angiography: a cohort study and health economic evaluation for patient benefit","eco","1"
"ERO_979","derivation of a hospital episode frailty index from electronic patient records: understanding the role of frailty in health outcomes for older hospital patients in scotland","eco","1"
"ERO_980","installation of a second beam line at the new luna 3.5mv accelerator for nuclear astrophysics studies","eco","1"
"ERO_981","economical and reliable sfcl for future renewable power network","eco","1"
"ERO_982","experimental insights into the fossil record of bacteria","eco","1"
"ERO_983","the cerebellum in health and disease: decoding purkinje cell diversity and selective vulnerability","eco","1"
"ERO_984","functional recovery of injured spinal locomotor neurons in simple aquatic animals","eco","1"
"ERO_985","international: integrating globally-recognised sustainability metrics for tropical perennial crops in a one-stop shop cool farm tool","eco","1"
"ERO_986","social science and post-disaster community reconstruction","eco","1"
"ERO_987","fukushima, the triple disaster and the eco-critical turn: an international interdisciplinary network","eco","1"
"ERO_988","improving microalgal genetics for industry needs and economics","eco","1"
"ERO_989","how life got moving: reconstructing and re-evolving ancient bacterial flagellar motors","eco","1"
"ERO_990","the transkribus crowdsourcing platform incorporating handwritten text recognition","eco","1"
"ERO_991","assessing recovery from delirium in older hospitalised people: optimisation and validation of the 4at","eco","1"
"ERO_992","implementation of pulse oximetry (po) and a multimodal device (mmd) (pulse oximetry plus record of respiratory rate and other vital signs) in primary health care in 3 african countries in children under 5 presenting acutely.","eco","1"
"ERO_993","implementation of pulse oximetry (po) and a multimodal device (mmd) (pulse oximetry plus record of respiratory rate and other vital signs) in primary health care in 3 african countries in children under 5 presenting acutely.","eco","1"
"ERO_994","acts of recovery","eco","1"
"ERO_995","political economies of school exclusion and their consequences","eco","1"
"ERO_996","political economies of school exclusion and their consequences","eco","1"
"ERO_997","temporal decoding of selective recollection with psychophysiology","eco","1"
"ERO_998","arrest-tb: accurate, rapid, robust and economical diagnostic technologies for tuberculosis","eco","1"
"ERO_999","arrest-tb: accurate, rapid, robust and economical diagnostic technologies for tuberculosis","eco","1"
"ERO_1000","inclusion, exclusion, and innovation in entrepreneurial ecosystems","eco","1"
"ERO_1001","air pollution exposure changes and impact on respiratory health and education: a population-wide record-linked longitudinal study","eco","1"
"ERO_1002","vulnerability of ecosystems to recurring drought and heat in the tropics (verdant)","eco","1"
"ERO_1003","developing biomedical engineering capacity in kenya: economically viable healthcare outcomes through education and local r&d activities","eco","1"
"ERO_1004","protecting coral reef fisheries through economic development and diversified food security","eco","1"
"ERO_1005","ibiome: measuring the effect of land use and climate change on ecosystem service delivery potential across tropical south america","eco","1"
"ERO_1006","natural language processing to identify the provision of asthma action plans in routine data from scottish primary care electronic health records","eco","1"
"ERO_1007","natural language processing to identify the provision of asthma action plans in routine data from scottish primary care electronic health records","eco","1"
"ERO_1008","natural language processing to identify the provision of asthma action plans in routine data from scottish primary care electronic health records","eco","1"
"ERO_1009","local area energy planning: socio-political & techno-economic dminestions (scoping study)","eco","1"
"ERO_1010","trust, identity, privacy and security in the digital economy 2.0 (paolo quattorne)","eco","1"
"ERO_1011","trust, identity, privacy and security in the digital economy 2.0 (paolo quattorne)","eco","1"
"ERO_1012","establishing principles relating neural codes to brain wiring through high throughput neural circuit reconstruction","eco","1"
"ERO_1013","the evolutionary ecology of plastic lifespans","eco","1"
"ERO_1014","iatlantic: integrated assessment of atlantic marine ecosystems in space and time","eco","1"
"ERO_1015","scenario mapping for offshore wind, wave and tidal energy development socio-economic benefit","eco","1"
"ERO_1016","the dark side of financial innovation? estimating the costs and real economy effects of algorithmic trading, market fragmentation and dark trading","eco","1"
"ERO_1017","sustainable agriculture from ecological-intensification hub","eco","1"
"ERO_1018","socioeconomic-based metrics in disaster management to put vulnerable people first","eco","1"
"ERO_1019","a circular economy approach towards water purification with concomitant biooil production through yeast-algal biorefinery and tailor-made biochar","eco","1"
"ERO_1020","social inequalities in the creative economy over time and place: connecting workforce, programming and consumption","eco","1"
"ERO_1021","assessing the accessibility of universities in city region ecosystems","eco","1"
"ERO_1022","integrating the delivery of ecosystem services and urban liveability: legitimacy, equity and justice in urban environmental initiatives","eco","1"
"ERO_1023","joining fin with tech: the relationships between regional and sectorial entrepreneurial ecosystems","eco","1"
"ERO_1024","kunqu theatre and forbidden city: performing cultural heritage in the transglobal creative economy","eco","1"
"ERO_1025","ecove","eco","1"
"ERO_1026","sustaining socio-economic activities with light based wireless connectivity –indonesia as a case study","eco","1"
"ERO_1027","decompression killing in laboratory rodents: a humane alternative to carbon dioxide","eco","1"
"ERO_1028","how does cellular reaf/rprd2 recognise hiv nucleic acids to restrict viral infection?","eco","1"
"ERO_1029","innovation ecosystem - eit climate kic 2018","eco","1"
"ERO_1030","rebuilding macroeconomics’, led by nef and glasgow uni","eco","1"
"ERO_1031","building edinburgh's drug discovery ecosystem (p2d 4)","eco","1"
"ERO_1032","building edinburgh's drug discovery ecosystem (p2d 4)","eco","1"
"ERO_1033","building edinburgh's drug discovery ecosystem (p2d 4)","eco","1"
"ERO_1034","economic stress and fat tails in the eminence of brexit","eco","1"
"ERO_1035","partnership for a cross-disciplinary approach to the ecology of antimicrobial drug resistance in kenya - led by liverpool","eco","1"
"ERO_1036","partnership for a cross-disciplinary approach to the ecology of antimicrobial drug resistance in kenya - led by liverpool","eco","1"
"ERO_1037","partnership for a cross-disciplinary approach to the ecology of antimicrobial drug resistance in kenya - led by liverpool","eco","1"
"ERO_1038","tap to trench investigation of microplastic fibres transport from wastewaters to effects in deep sea organisms and ecosystems (tap2trench)","eco","1"
"ERO_1039","activity over the lifecourse for canine health","eco","1"
"ERO_1040","women, data and decent work: data ecosystems and opportunities","eco","1"
"ERO_1041","small animal magnetic resonance imaging of lifecourse: from developmental diseases to dementia","eco","1"
"ERO_1042","variety is the spice of love: promoting partner responsiveness within the relationship ecosystem","eco","1"
"ERO_1043","system-science informed public health and economic research for non-communicable disease prevention (the sipher consortium)","eco","1"
"ERO_1044","digital livelihoods? the online gig economy and the future of decent refugee work in cities","eco","1"
"ERO_1045","retirement decisions and the lifecourse: predicting retirement and its effects on health and wellbeing","eco","1"
"ERO_1046","retirement decisions and the lifecourse: predicting retirement and its effects on health and wellbeing","eco","1"
"ERO_1047","capturing the landscape-context of long-term records of tundra vegetation change","eco","1"
"ERO_1048","recording a nation: musical articulations of scotland through its archives","eco","1"
"ERO_1049","dr shivani agarwal - socio-ecological impacts of conflicting forest policies in india and challenges to mitigate climate change through afforestation programs","eco","1"
"ERO_1050","decompressive craniectomy versus best medical treatment of spontaneous supratentorial intracerebral haemorrhage: feasibility assessment of a randomised controlled trial in the uk","eco","1"
"ERO_1051","decompressive craniectomy versus best medical treatment of spontaneous supratentorial intracerebral haemorrhage: feasibility assessment of a randomised controlled trial in the uk","eco","1"
"ERO_1052","decoding plant iron homeostasis","eco","1"
"ERO_1053","oedipus: optimising ecosystem delivery and provision in urban soils","eco","1"
"ERO_1054","optimisation of recovery of valuable metals from waste printed circuit boards (wpcbs) through modified hydrometallurgical route","eco","1"
"ERO_1055","soil carbon persistence and resistance in terrestrial ecosystems (sprite)","eco","1"
"ERO_1056","soil carbon persistence and resistance in terrestrial ecosystems (sprite)","eco","1"
"ERO_1057","golden eagle health as an indicator of ecosystem health: development of novel surveillance tools for conservation","eco","1"
"ERO_1058","tech for food? digital economies and the future of decent refugee work in cities","eco","1"
"ERO_1059","raptor health as an indicator of ecosystem health: development of novel surveillance tools for conservation","eco","1"
"ERO_1060","golden eagle health as an indicator of ecosystem health: development of novel surveillance tools for conservation","eco","1"
"ERO_1061","mirror upon mirror: reconceiving reflexivity in cinematic art","eco","1"
"ERO_1062","mirror upon mirror: reconceiving reflexivity in cinematic art","eco","1"
"ERO_1063","manufacturing reconciliation?  sri lankan apparels in post-war sri lanka","eco","1"
"ERO_1064","socioeconomic assessment for heat decisions","eco","1"
"ERO_1065","training for security and privacy-preservation in speaker recognition","eco","1"
"ERO_1066","accelerating quantitative magnetic resonance imaging acquisition and reconstruction","eco","1"
"ERO_1067","nsfgeo-nerc: transforming understanding of paleomagnetic recording: insights from experimental observations and numerical predictions","eco","1"
"ERO_1068","manufacturing reconciliation? sri lankan apparels in post-war sri lanka","eco","1"
"ERO_1069","biomass fuel processing and supply training network for a sustainable eu bio-based economy","eco","1"
"ERO_1070","supporting derek - second edition","eco","1"
"ERO_1071","elucidating the role of surviving neurons in morphological and functional recovery after brain injury in zebrafish","eco","1"
"ERO_1072","enhancing disease resistance and yield of secondary metabolites of papaver somniferum through endophytic microbes","eco","1"
"ERO_1073","us-uk collab: mycobacterial transmission dynamics in agricultural systems: integrating phylogenetics, epidemiology, ecology and economics","eco","1"
"ERO_1074","ecologies of domestication: animal health impacts of the transition to farming","eco","1"
"ERO_1075","understanding the impact of colonial-era legislation on pastoral nomads, and how it impacts today’s ecology in the garhwal division of uttarakhand","eco","1"
"ERO_1076","comparative study of the innovation capabilities of smes by place and economic sector","eco","1"
"ERO_1077","improving microalgal genetics for industry needs and economics","eco","1"
"ERO_1078","climate kic 2017:  edinburgh city region innovation ecosystem development","eco","1"
"ERO_1079","towards environmental reconciliation in páramo land in boyacá: resolving ecosystem trade-offs in post-conflict spaces","eco","1"
"ERO_1080","the second most important pitch: how digital start-ups must navigate the endorsement economy to scale","eco","1"
"ERO_1081","investigating the association between individual components of a delirium diagnosis and outcomes in older hospitalised patients: a pre-planned secondary analysis.","eco","1"
"ERO_1082","relib - faraday challenge fast track proposal - circular economy","eco","1"
"ERO_1083","faraday challenge: delivering a circular economy in batteries","eco","1"
"ERO_1084","preparation of reagents for vectorisation of rna decoy vector into lentivirus vector","eco","1"
"ERO_1085","the eu's changing role in gender equality: entrenching intersectional inequalities through economic governance? (rosalind cavaghan)","eco","1"
"ERO_1086","reconciling the mystical body: louisiana catholics and desegregation, 1945-1976","eco","1"
"ERO_1087","reconciling the mystical body: louisiana catholics and desegregation, 1945-1976","eco","1"
"ERO_1088","psi-borg - psychophysical analysis and physiologically-based recognition of computer generated characters","eco","1"
"ERO_1089","psi-borg - psychophysical analysis and physiologically-based recognition of computer generated characters","eco","1"
"ERO_1090","becoming autonomous: the development of self-directed cognitive control in childhood","eco","1"
"ERO_1091","target deconvolution of hydroxylase inhibitors","eco","1"
"ERO_1092","flood defenders: prepare, respond, recover","eco","1"
"ERO_1093","flood defenders: prepare, respond, recover","eco","1"
"ERO_1094","the political economy of military transitions in south korea and myanmar","eco","1"
"ERO_1095","intra-household allocation of resources and economic development: the birth order effect paradox","eco","1"
"ERO_1096","characterization of newly identified chimeric swine enteric coronaviruses (secov) and bat-hku2-like coronaviruses in pigs","eco","1"
"ERO_1097","jaspreet singh boparai - plautus and the recover of roman comedy 1426-1668: histories of scholarship, performance and reception","eco","1"
"ERO_1098","ba pdf joe dewhurst, reconciling computational and enactive approaches to cognitive science","eco","1"
"ERO_1099","do biogenic volatile organic compound (bvoc) emissions vary from different tree species in short-rotation forst (srf) ecosystems","eco","1"
"ERO_1100","ebi metagenomics - enabling the reconstruction of microbial populations","eco","1"
"ERO_1101","linkage of national primary and secondary care data to determine rate, causes and risk factors for epilepsy-related death in adults","eco","1"
"ERO_1102","the evolutionary ecology of parasite strategies for survival and transmission","eco","1"
"ERO_1103","the evolution of recombination rates in natural populations","eco","1"
"ERO_1104","all over again? a mixed-methods, spatial, and temporal study of the economic livelihoods of the burundian repeat refugees in north-western tanzania","eco","1"
"ERO_1105","once upon a time: the ecology of circadian rhythms in infectious disease","eco","1"
"ERO_1106","reconceptualising early childhood transitions through a play-based systemic curriculum intervention","eco","1"
"ERO_1107","joint eea / dg-env framework on natural capital and ecosystem assessment","eco","1"
"ERO_1108","finsbury park culturecoin","eco","1"
"ERO_1109","advancing a futuristic h2-based economy through a creative partnership between the uk and korea","eco","1"
"ERO_1110","ms-stat2: a phase 3 randomised, double blind, clinical trial investigating the effectiveness of repurposed simvastatin compared to placebo in secondary progressive multiple sclerosis, in slowing the progression of disability","eco","1"
"ERO_1111","urban mining - recovering metals from electronic waste","eco","1"
"ERO_1135","squaring the circular economy: accelerating negative co2 emissions in the waste to energy sector with ccs","eco","1"
"ERO_1178","resource recovery from chitosan and ragworms bioremediation of waste","eco","1"
"ERO_1183","tap to trench investigation of microplastic fibres transport from wastewaters to effects in deep sea organisms and ecosystems (tap2trench)","eco","1"
"ERO_1185","optimisation of recovery of valuable metals from waste printed circuit boards (wpcbs) through modified hydrometallurgical route","eco","1"
"ERO_1188","urban mining - recovering metals from electronic waste","eco","1"
"ERO_1189","bio-enabled reduction, recovery and recycling of critical and technology metals","eco","1"
"ERO_1213","sophie haines - rse- personal research fellowships -the nature of the future: anticipating sustainable ecologies and economies in the caribbean/central america","eco","1"
"ERO_1214","developing & piloting biodiversity footprinting & natural capital accounting via a 'beehive' of sectoral hubs,  for sustainable transition to a circular eu bioeconomy","eco","1"
"ERO_1215","developing & piloting biodiversity footprinting & natural capital accounting via a 'beehive' of sectoral hubs,  for sustainable transition to a circular eu bioeconomy","eco","1"
"ERO_1216","developing & piloting biodiversity footprinting & natural capital accounting via a 'beehive' of sectoral hubs,  for sustainable transition to a circular eu bioeconomy","eco","1"
"ERO_1234","sages: systems approach for greener, eco-efficient and sustainable mineral resource management in the philippines","eco","1"
"ERO_1242","ecocinematics: cinematic storytelling for sustainable futures: narratives, aesthetics and modes of production","eco","1"
"ERO_1250","agro4nickel - developing a sustainable agromining system for nickel recovery in serpentine soils of scotland and portugal","eco","1"
"ERO_1253","rising from the depths: utilising marine cultural heritage in east africa to help develop sustainable social, economic and cultural benefits","eco","1"
"ERO_1272","chris speed - digital economy sustainable digital society","eco","1"
"ERO_1276","education for sustainable development in secondary mathematics classrooms: challenges and impacts","eco","1"
"ERO_1277","education for sustainable development in secondary mathematics classrooms: challenges and impacts","eco","1"
"ERO_1278","education for sustainable development in secondary mathematics classrooms: challenges and impacts","eco","1"
"ERO_1320","crafting myanmar. the role of the youth in the sustainable creative economy","eco","1"
"ERO_1375","sustainable agriculture from ecological-intensification hub","eco","1"
"ERO_1397","biomass fuel processing and supply training network for a sustainable eu bio-based economy","eco","1"
"ERO_1413","environmental sustainability and economic cooperation in the longue duree: a comparative approach to locality, history and development","eco","1"
"ERO_1416","eco-beef uk: improving the economical and environmental sustainability of uk beef breeds","eco","1"
"ERO_1424","ecoloc: unlocking the environmental sustainability of point-of-care medical and lab-on-chip microcomponents","eco","1"
"ERO_1425","uniseco - understanding and improving the sustainability of agro-ecoiogicai farming systems in the eu","eco","1"
"ERO_1436","international: integrating globally-recognised sustainability metrics for tropical perennial crops in a one-stop shop cool farm tool","eco","1"
"ERO_1444","black ecologies: race and the long anthropocene","eco","1"
"ERO_1469","trees outside forests: using remote sensing to understand ecological and social landscape change in africa","eco","1"
"ERO_1499","re-terra: intelligent restoration and monitoring for terrestrial and fresh aquatic ecosystem services","eco","1"
"ERO_1500","poverty in rural africa and its relationships with environmental resources and ecosystem services","eco","1"
"ERO_1501","building on ecosystem services for poverty alleviation","eco","1"
"ERO_1502","integrating the delivery of ecosystem services and urban liveability: legitimacy, equity and justice in urban environmental initiatives","eco","1"
"ERO_1518","economically optimised methods for genomic selection in aquaculture","eco","1"
"ERO_1557","dr shivani agarwal - socio-ecological impacts of conflicting forest policies in india and challenges to mitigate climate change through afforestation programs","eco","1"
"ERO_1566","biochar devices for water decontamination and pollutants detection","eco","1"
"ERO_1567","biochar devices for water decontamination and pollutants detection","eco","1"
"ERO_1572","decoding biochar-microbial interactions for microbial electrochemical technology","eco","1"
"ERO_1577","a circular economy approach towards water purification with concomitant biooil production through yeast-algal biorefinery and tailor-made biochar","eco","1"
"ERO_1596","industrial secondment for tank testing of optimised wave energy converters","eco","1"
"ERO_1630","us-uk collab: integration of epidemiology economics and behaviour for better wildlife and farm management of disease","eco","1"
"ERO_1631","us-uk eeid project – integration of epidemiology economics and behaviour for better wildlife and farm management of disease","eco","1"
"ERO_1633","socio-ecological dynamics of infectious disease at the livestock-human-wildlife interface.","eco","1"
"ERO_1646","ecoclim: ecological responses to climate warming across biomes - ecological stability as community thermophilization linked to species thermal traits","eco","1"
"ERO_1682","reconciling volcanic forcing and climate records throughout the last millennium (vol-clim)","eco","1"
"ERO_1","e chatzisymeon epsrc new horizons using wastewater as a resource to tackle climate change","waste","1"
"ERO_108","engineering in-situ elimination of microplastics from municipal wastewaters","waste","1"
"ERO_110","addressing viri, microplastics and antimicrobial resistance at wastewater treatment plants","waste","1"
"ERO_111","addressing viri, microplastics and antimicrobial resistance at wastewater treatment plants","waste","1"
"ERO_114","tap to trench investigation of microplastic fibres transport from wastewaters to effects in deep sea organisms and ecosystems (tap2trench)","waste","1"
"ERO_143","reduction of landfill gas and leachate pollution from solid waste landfill via implementation of 2-dimensional nanomaterial mixed matrix membranes (mmms) to foster a green and sustainable environment","waste","1"
"ERO_269","transforming styrofoam waste into triggered release adsorbents for environmental remediation (styrobent)","waste","1"
"ERO_316","squaring the circular economy: accelerating negative co2 emissions in the waste to energy sector with ccs","waste","1"
"ERO_342","bioix: zero-waste manufacturing of biorenewable ion exchange resins","waste","1"
"ERO_343","bioix: zero-waste manufacturing of biorenewable ion exchange resins","waste","1"
"ERO_385","producing renewable clean energy from wastewater","waste","1"
"ERO_579","squaring the circular economy: accelerating negative co2 emissions in the waste to energy sector with ccs","waste","1"
"ERO_943","resource recovery from chitosan and ragworms bioremediation of waste","waste","1"
"ERO_1038","tap to trench investigation of microplastic fibres transport from wastewaters to effects in deep sea organisms and ecosystems (tap2trench)","waste","1"
"ERO_1054","optimisation of recovery of valuable metals from waste printed circuit boards (wpcbs) through modified hydrometallurgical route","waste","1"
"ERO_1111","urban mining - recovering metals from electronic waste","waste","1"
"ERO_1112","use of co-pyrolised biochar in carbon-negative hydrogen production (hybeccs) from bio-organic wastes.","waste","1"
"ERO_1113","production of biodegradable plastics by fermentation of dairy waste-products","waste","1"
"ERO_1114","3d printed continuous catalytic bioreactors for the conversion of food wastes into biosurfactants","waste","1"
"ERO_1115","e chatzisymeon epsrc new horizons using wastewater as a resource to tackle climate change","waste","1"
"ERO_1116","mascca: membrane-assisted simultaneous capture and catalytic abatement of n2o and ch4 from waste water treatment plant emissions","waste","1"
